SUBJECT	Coursecode	GRADING_BASIS_ENRL	Gender	AGE	YearSchool	COMP_ACT_SCORE	URM	msl01	msl02	msl03	msl04	msl05	msl06	msl07	msl08	msl09	msl10	msl11	msl12	msl13	msl14	msl15	msl16	msl17	msl18	msl19	msl20	Exams_percent	Course_percent	NonExam_percent	ZExams_percent	ZCourse_percent	ZNonExam_percent
BIOL	1001.1	A-F	0	20	Sophomore	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.725	0.8766	1.0282	-0.321194857	0.249525715	0.971325562
BIOL	1001.1	S-N	1	20	Sophomore	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.798583333	0.9141	1.029616667	0.267464788	0.70207122	0.988208817
BIOL	1001.1	A-F	1	20	Junior	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.798583333	0.8654	0.932216667	0.267464788	0.114365457	-0.172564334
BIOL	1001.1	A-F	0	20	Sophomore	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.876416667	0.9355	0.994583333	0.890124036	0.960323855	0.570695947
BIOL	1001.1	S-N	1	20	Sophomore	30	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.873583333	0.9037	0.933816667	0.867457634	0.576565267	-0.153496191
BIOL	1001.1	A-F	1	20	Sophomore	30	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.94725	0.9833	1.01935	1.456783943	1.537168526	0.865854901
BIOL	1001.1	S-N	0	20	Sophomore	31	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.750083333	0.8491	0.948116667	-0.120530585	-0.082340989	0.016925329
BIOL	1001.1	A-F	1	20	Sophomore	31	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.8	0.9084	1.0168	0.278797989	0.633284303	0.835465049
BIOL	1001.1	A-F	0	20	Senior	31	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.951416667	0.9731	0.994783333	1.490116881	1.414076149	0.573079465
BIOL	1001.1	A-F	1	20	Sophomore	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	0	20	Senior	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	1	20	Sophomore	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.911166667	0.9727	1.034233333	1.168120721	1.409248997	1.043228344
BIOL	1001.1	A-F	0	20	Sophomore	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.95275	0.9931	1.03345	1.500783418	1.655433752	1.033892903
BIOL	1001.1	A-F	1	20	Junior	33	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.876416667	0.9551	1.033783333	0.890124036	1.196854306	1.037865429
BIOL	1001.1	A-F	1	20	Sophomore	34	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.755583333	0.7945	0.833416667	-0.07653111	-0.741247245	-1.350022108
BIOL	1001.1	A-F	1	20	Junior	34	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.85975	0.8901	0.92045	0.75679229	0.412442097	-0.312794632
BIOL	1001.1	WTH	0	19	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	S-N	0	19	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.54725	0.753	0.95875	-1.743177901	-1.242064271	0.143649019
BIOL	1001.1	A-F	0	19	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.576416667	0.7789	0.981383333	-1.509847347	-0.929506175	0.413383775
